XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,100,100,FALSE,10000,FALSE,1024,5098.48575
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,500,100,200,FALSE,10000,FALSE,2048,5130.13441
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,250,10,200,TRUE,30000,TRUE,1024,5140.859552
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,50,100,FALSE,10000,TRUE,2048,5169.917971
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,100,250,100,100,FALSE,30000,TRUE,1024,5174.554988
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,50,50,FALSE,30000,TRUE,2048,5198.315746
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,100,100,FALSE,20000,FALSE,1024,5215.849227
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,75,10,50,TRUE,20000,FALSE,2048,5253.388436
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,10,200,TRUE,10000,TRUE,2048,5256.241787
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,25,500,50,200,FALSE,20000,TRUE,1024,5275.467318
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,1000,25,250,100,100,FALSE,20000,FALSE,2048,5283.271402
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,50,50,TRUE,20000,FALSE,2048,5307.573908
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,100,250,10,200,TRUE,30000,FALSE,2048,5308.700961
256,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,75,10,100,FALSE,20000,FALSE,1024,5310.580446
